id,Title,Author,Year,Venue,search_string,File Attachments
29,How Students Use Generative AI for Software Testing: An Observational Study,"Ardic, Baris; Dilavrec, Quentin Le; Zaidman, Andy",2025,arXiv preprint arXiv:2510.10551,string B,FALSE
30,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping",2026,ACM Transactions on Software Engineering and Methodology,string B,C:\Users\hoang\Zotero\storage\79EQIGTR\Alshammari - 2025 - On the use of user interface specific domain Gherk.pdf
31,Unit test generation using large language models: A systematic literature review,"Zapkus, Dovydas Marius; Slotkiene, Asta",2024,"Lietuvos magistrantu informatikos ir IT tyrimai: konferencijos darbai, 2024 m. gegu?es 10 d.",string B,FALSE
32,Reimagining Unit Test Generation With AI: A Journey From Evolutionary Models to Transformers,"Esubalew, Sintayehu Zekarias; Assefa, Beakal Gizachew",2025,IEEE Access,string B,C:\Users\hoang\Zotero\storage\XWAZWE49\Mughal - 2024 - Advancing BDD Software Testing Dynamic Scenario R.pdf
33,Evaluating the Validity of AI-Generated School Tests: A Case Study in Mathematics and Biology,"Fialová, Jana; Horváth, Roman",2025,2025 International Conference on Emerging eLearning Technologies and Applications (ICETA),string B,FALSE
34,Image2Test: Using ChatGPT to build manual tests from screenshots,"Aranda III, Manoel; Wagner, Antônio; Barros, Eduardo; Ribeiro, Márcio; Garcia, Alessandro; Palomba, Fabio; Fonseca, Baldoino; Machado, Ivan",2025,Simpósio Brasileiro de Testes de Software Sistemático e Automatizado (SAST),string B,FALSE
35,"Transforming Software Testing with AI-driven Test Automation: Exploring Implementation, Challenges, Industry Perceptions, and Future Impact on Software Quality","Artinger, Karl",2025,,string B,
36,AI-assisted exam variant generation: A human-in-the-loop framework for automatic item creation,"Burke, Charles MacDonald",2025,Education Sciences,string B,C:\Users\hoang\Zotero\storage\KA9ERJNB\Budihal - 2025 - A Guide for Implementing the Behavior-Driven Devel.pdf
37,AI to support PM: a ChatGPT quality assessment (ß test),"Minelle, Federico; Stolfi, Franco",2023,PM World Journal,string B,
38,How to Evaluate BDD Scenarios' Quality?,"Oliveira, Gabriel; Marczak, Sabrina; Moralles, Cassiano",2019,Proceedings of the XXXIII Brazilian Symposium on Software Engineering,string C,
39,Question-based checklist to evaluate BDD scenarios' quality,"Oliveira, Gabriel Pimentel Affonso de",2018,,string C,
40,On the use of user interface specific domain Gherkin in behaviour driven development,"Alshammari, Abdullah",2025,,string C,C:\Users\hoang\Zotero\storage\AJDTZFHK\Rathnayake et al. - 2026 - Behaviour Driven Development Scenario Generation w.pdf
41,Reducing Maintenance Burden in Behaviour-Driven Development: A Paraphrase-Robust Duplicate-Step Detector with a 1.1M-Step Open Benchmark,"Mughal, Ali Hassaan; Fatima, Noor; Bilal, Muhammad",2026,,string C,C:\Users\hoang\Zotero\storage\PGGMPNIE\Dhir - AUGMENTING SOFTWARE TESTING AND AUTOMATION THROUGH.pdf
42,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,"Matveeva, Lada Ivanna; Kun?tár, Vladimír; Jelemenská, Katarína; Cicák, Pavel",2025,"2025 5th International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",string C,
43,Classifying BDD Software Tests Using Machine Learning and NLP Techniques,"Brandao, David Ferreira; de Oliveira Rodrigues, Cleyton Mário; Santos, Wylliams Barbosa",2025,Encontro Nacional de Inteligência Artificial e Computacional (ENIAC),string C,FALSE
44,Real-Time Feedback for BDD Test Scenarios Using AI-Based Classification,"Brandão, David; Marques, Denis; Rodrigues, Cleyton; Santos, Wylliams",2025,Simpósio Brasileiro de Testes de Software Sistemático e Automatizado (SAST),string C,FALSE
45,A Comparative Study of LLMs for Gherkin Generation,"Fernandes, Hiago; Perkusich, Mirko; Albuquerque, Danyllo; Silva, Izabella; Santos, Danilo FS; Gorgônio, Kyller; Perkusich, Angelo",2025,Simpósio Brasileiro de Engenharia de Software (SBES),string C,
46,Defining Acceptance Criteria in BDD: Using Gherkin Syntax to Outline Feature Behavior Before Coding,"James, Charles",,,string C,C:\Users\hoang\Zotero\storage\MC9M276G\Fernandes et al. - 2025 - A Comparative Study of LLMs for Gherkin Generation.pdf
,,,,,,FALSE
