id,title,authors,year,venue,doi,pdf_link,abstract,keywords,search_string
11,Object Oriented BDD and Executable Human-Language Module Specification,E. Lee; J. Gong; Q. Cao,2023,"2023 26th ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)",10.1109/SNPD-Winter57765.2023.10223873,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10223873,"This paper presents an approach to software development which uses a generative AI Model as compiler to translate human language requirements into high-level programming language. We propose an executable human-language module specification and a tool to support it, which has been used successfully for human-language UI test automation. We anticipate further development of this approach to enable complex software to be programmed in human language, allowing for more intuitive and efficient software development.",OOBDD (Object-oriented Behavior Driven Development);GPT;SDD (Specification Driven Development);BDD;HLP (Human Language Programming);LLM (Large Language Model);Generative AI,String A
12,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,P. L. Fonseca; B. Lima; J. P. Faria,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),10.1109/ASE63991.2025.00273,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11334650,"Mobile acceptance testing remains a bottleneck in modern software development, particularly for cross-platform mobile development using frameworks like Flutter. While developers increasingly rely on automated testing tools, creating and maintaining acceptance test artifacts still demands significant manual effort. To help tackle this issue, we introduce AToMIC, an automated framework leveraging specialized Large Language Models to generate Gherkin scenarios, Page Objects, and executable UI test scripts directly from requirements (JIRA tickets) and recent code changes. Applied to BMW’s MyBMW app, covering 13 real-world issues in a 170+ screen codebase, AToMIC produced executable test artifacts in under five minutes per feature on standard hardware. The generated artifacts were of high quality: 93.3% of Gherkin scenarios were syntactically correct upon generation, 78.8% of PageObjects ran without manual edits, and 100% of generated UI tests executed successfully. In a survey, all practitioners reported time savings (often a full developer-day per feature) and strong confidence in adopting the approach. These results confirm AToMIC as a scalable, practical solution for streamlining acceptance test creation and maintenance in industrial mobile projects.",Acceptance Testing;Large Language Models;Mobile Applications;Flutter;Test Case Generation;Cross-Platform Development;Gherkin;Test Automation,String A & String B
13,The Role of Machine Learning and Large Language Models in Software Testing and Validation,Y. Hachaïchi; M. A. Ouerghi,2025,2025 IEEE 22nd International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA),10.1109/STA66620.2025.11364940,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11364940,"Ensuring software quality in agile and continuous integration environments has become increasingly challenging due to the complexity and pace of modern development. This paper explores the use of Large Language Models (LLMs) in automating software testing and validation processes. We present an AI-based framework leveraging Retrieval-Augmented Generation (RAG) and prompt engineering to automatically generate Gherkin scenarios from Jira Xray requirements within a Behavior-Driven Development (BDD) context. Following the CRISP-DM methodology, the system integrates semantic retrieval, generative modeling, and human-in-the-loop validation to ensure syntactic compliance, semantic fidelity, and industrial applicability. Experimental results show that the proposed approach achieves a high syntactic accuracy, BLEU score, and an 87% reduction in test generation time compared to manual methods. These findings demonstrate the feasibility and effectiveness of LLM-driven automation in bridging natural language requirements with executable test artifacts, marking a significant advancement in AI-augmented software quality assurance.",Machine Learning;Large Language Models;Software Testing;Behavior-Driven Development;RetrievalAugmented Generation;Prompt Engineering;Quality Assurance Automation;Gherkin Scenarios;Test Case Generation,String A & String B
14,Integrated and Iterative Requirements Analysis and Test Specification: A Case Study at Kostal,C. Wiecher; J. Fischbadh; J. Greenyer; A. Vogelsang; C. Wolff; R. Dumitrescu,2021,2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS),10.1109/MODELS50736.2021.00020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9592193,"Currently, practitioners follow a top-down approach in automotive development projects. However, recent studies have shown that this top-down approach is not suitable for the implementation and testing of modern automotive systems. Specifically, practitioners increasingly fail to specify requirements and tests for systems with complex component interactions (e.g., e-mobility systems). In this paper, we address this research gap and propose an integrated and iterative scenario-based technique for the specification of requirements and test scenarios. Our idea is to combine both a top-down and a bottom-up integration strategy. For the top-down approach, we use a behavior-driven development (BDD) technique to drive the modeling of high-level system interactions from the user's perspective. For the bottom-up approach, we discovered that natural language processing (NLP) techniques are suited to make textual specifications of existing components accessible to our technique. To integrate both directions, we support the joint execution and automated analysis of system-level interactions and component-level behavior. We demonstrate the feasibility of our approach by conducting a case study at Kostal (Tierl supplier). The case study corroborates, among other things, that our approach supports practitioners in improving requirements and test specifications for integrated system behavior.",Requirements Analysis;Test Specification;Natural Language Processing;Scenario-based Requirements Engineering;Model-based Testing;Scenario-based Testing,String A
15,Behave Nicely! Automatic Generation of Code for Behaviour Driven Development Test Suites,T. Storer; R. Bob,2019,2019 19th International Working Conference on Source Code Analysis and Manipulation (SCAM),10.1109/SCAM.2019.00033,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930836,"Behaviour driven development (BDD) has gained widespread use in the software industry. System specifications can be expressed as test scenarios, describing the circumstances, actions and expected outcomes. These scenarios are written in a structured natural language (Gherkin), with each step in the scenario associated with a corresponding step implementation function in the underlying programming language. A challenge recognised by industry is ensuring that the natural language scenarios, step implementation functions and underlying system implementation remain consistent with one another, requiring on-going maintenance effort as changes are made to a system. To address this, we have developed behave_nicely, a tool, for automatically generating step implementation functions from structured natural language steps, with the intention of eliminating the need for maintaining step implementation functions. We evaluated our approach on a sample of 20 white box and 50 black box projects using behaviour driven development, drawn from GitHub. Our results show that behave_nicely can generate step implementation functions for 80% of the white box and 17% of black box projects. We conclude that (a) there is significant potential for automating the process of code generation for BDD tests and (b) that the development of guidelines for writing tests in Gherkin would significantly improve the results.",Behaviour driven development;code generation,String A
16,Acceptance Test Generation with Large Language Models: An Industrial Case Study,M. Ferreira; L. Viegas; J. P. Faria; B. Lima,2025,2025 IEEE/ACM International Conference on Automation of Software Test (AST),10.1109/AST66626.2025.00007,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081451,"Large language model (LLM)-powered assistants are increasingly used for generating program code and unit tests, but their application in acceptance testing remains underexplored. To help address this gap, this paper explores the use of LLMs for generating executable acceptance tests for web applications through a two-step process: (i) generating acceptance test scenarios in natural language (in Gherkin) from user stories, and (ii) converting these scenarios into executable test scripts (in Cypress), knowing the HTML code of the pages under test. This two-step approach supports acceptance test-driven development, enhances tester control, and improves test quality. The two steps were implemented in the AutoUAT and Test Flow tools, respectively, powered by GPT-4 Turbo, and integrated into a partner company’s workflow and evaluated on real-world projects. The users found the acceptance test scenarios generated by AutoUAT helpful 95% of the time, even revealing previously overlooked cases. Regarding Test Flow, 92% of the acceptance test cases generated by Test Flow were considered helpful: 60% were usable as generated, 8% required minor fixes, and 24% needed to be regenerated with additional inputs; the remaining 8% were discarded due to major issues. These results suggest that LLMs can, in fact, help improve the acceptance test process, with appropriate tooling and supervision.",Acceptance Testing;Large Language Models;Automatic Test Generation;Web Application Testing,String A & String B
17,AI driven Test Scenario Generator,A. Chatterjee,2025,2025 5th International Conference on Information Communication and Software Engineering (ICICSE),10.1109/ICICSE66971.2025.11430054,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11430054,"Modern microservice ecosystems expose rapidly evolving REST APIs and complex interaction patterns that make manual Behavior-Driven Development (BDD) scenario authoring slow and difficult to scale. While Cucumber provides a clear, shared language for specifying behavior, writing and maintaining scenarios and step definitions by hand remains a major bottleneck. This paper presents an AI-driven framework that transforms machine-readable API contracts into executable BDD artifacts. This framework ingests Swagger/OpenAPI specifications, parses endpoints, schemas, and constraints, and applies user-defined rules encoding domain policies, compliance requirements, and negative-path priorities. A synthesis engine then generates standardized scenarios, deduplicates overlapping cases, and ensures consistent phrasing for traceability and reuse. A human-in-the-loop review further enriches test data, tunes edge cases, and finalizes assertions, focusing expert input where it adds the most value.Compared to manual approaches, this framework (i) produces readable, executable BDD scenarios directly from contracts, (ii) integrates rule-driven guidance with specification grounding to target domain-critical paths, and (iii) fits seamlessly into existing Cucumber/JUnit pipelines. Evaluation across internal services shows notable reductions in authoring time, improved negative-path coverage, and stronger alignment between specifications and test suites, enabling scalable, maintainable automation for continuous delivery environments.",BDD Testing;API Testing;Cucumber;Swagger/OpenAPI;AI-driven Test Automation;Test Scenario Generation;Microservice testing,String A & String B
18,Impacts of behavioral driven development in the improvement of quality software deliverables,A. Sheshasaayee; P. Banumathi,2018,2018 3rd International Conference on Inventive Computation Technologies (ICICT),10.1109/ICICT43934.2018.9034287,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9034287,"Sometimes, the software deliverables do not exactly match with the requirements. This mismatch requirement can be captured during the testing. Even then if it is missing it is because of non-coverage of the testing and test cases. This could be resolved by creating the unit test cases / Integration test cases from the requirements. This paper focuses on BDD requirements which generates the test cases as well as report executed. With aid of automation testing, the test cases of BDD can be explained. This paper deals with such test cases, the next version binaries to get the proper deliverables.",BDD - Behavior Driven Development;TDD – Test Driven Development;QA – Quality Assurance;BD – Behavior Driven,String A & String B
19,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,S. B. Nettur; S. Karpurapu; U. Nettur; L. S. Gajja,2025,IEEE Access,10.1109/ACCESS.2024.3521407,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10812696,"In today’s fast-paced software development environment, Agile methodologies demand rapid delivery and continuous improvement, making automated testing essential for maintaining quality and accelerating feedback loops. Our study addresses the challenges of developing and maintaining automation code for web-based application testing. In this paper, we propose a novel approach that leverages large language models (LLMs) and a novel prompt technique, few-shot chain, to automate code generation for web application testing. We chose the Behavior-Driven Development (BDD) methodology owing to its advantages and selected the Cypress tool for automating web application testing, as it is one of the most popular and rapidly growing frameworks in this domain. We comprehensively evaluated various OpenAI models, including GPT-4-Turbo, GPT-4o, and GitHub Copilot, using zero-shot and few-shot chain prompt techniques. Furthermore, we extensively validated with a vast set of test cases to identify the optimal approach. Our results indicate that the Cypress automation code generated by GPT-4o using a few-shot chained prompt approach excels in generating complete code for each test case, with fewer empty methods and improved syntactical accuracy and maintainability. Based on these findings, we developed a novel open-source Visual Studio Code (IDE) extension, “Cypress Copilot” utilizing GPT-4o and a few-shot chain prompt technique, which has shown promising results. Finally, we validate the Cypress Copilot tool by generating automation code for end-to-end web tests, demonstrating its effectiveness in testing various web applications and its ability to streamline development processes. More importantly, we are releasing this tool to the open-source community, as it has the potential to be a promising partner in enhancing productivity in web application automation testing.",Agile software development;behavior driven development;large language model;machine learning;prompt engineering;software testing;cypress;selenium;web application;AI assistant tools;GitHub Copilot;code generation;test case generation;test automation;zero-shot;few-shot;OpenAI;GPT-3;GPT3.5;GPT-4;GPT-4o,String A & String B
20,Test Requirement Modeling and Verification Method Oriented Towards Intelligent Characteristics of Autonomous Unmanned Equipment,J. You; J. Tong; T. Yang; H. Wang,2025,2025 5th International Conference on Electronic Information Engineering and Computer Communication (EIECC),10.1109/EIECC67963.2025.11409501,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11409501,"Addressing the challenges of state space explosion and the lack of test oracles in testing the intelligent characteristics of autonomous unmanned equipment, this paper proposes a fullprocess methodology for test requirement modeling and verification. The approach first utilizes Natural Language Processing (NLP) technology to construct a requirement graph, achieving formal modeling through a dual-view approach involving State Machines (STM) and Binary Decision Diagrams (BDD). Subsequently, an intelligent test case generation strategy is designed by integrating Particle Swarm Optimization (PSO) with Metamorphic Testing, followed by reduction using Pearson correlation coefficients. Finally, closed-loop verification is implemented on a simulation platform based on the Functional Mock-up Unit (FMU) standard and Lua scripting. Experimental results demonstrate that this method effectively covers intelligent decision-making paths and significantly enhances the completeness and efficiency of testing.",Autonomous Unmanned Equipment;Intelligent Characteristics;Test Requirement Modeling;Formal Verification;Metamorphic Testing;Particle Swarm Optimization,String A & String B
